antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'confectionery'}),"frozenset({'Unnamed: 18', 'wine'})",0.276,0.287,0.144,0.5217391304347825,1.8179063778215419,0.06478799999999998,1.4908181818181816
frozenset({'wine'}),"frozenset({'Unnamed: 18', 'confectionery'})",0.287,0.276,0.144,0.5017421602787456,1.817906377821542,0.06478799999999998,1.4530629370629369
"frozenset({'All_three', 'confectionery'})",frozenset({'wine'}),0.274,0.287,0.144,0.5255474452554744,1.8311757674406774,0.06536199999999999,1.5027846153846154
"frozenset({'All_three', 'wine'})",frozenset({'confectionery'}),0.287,0.276,0.144,0.5017421602787456,1.817906377821542,0.06478799999999998,1.4530629370629369
frozenset({'confectionery'}),"frozenset({'All_three', 'wine'})",0.276,0.287,0.144,0.5217391304347825,1.8179063778215419,0.06478799999999998,1.4908181818181816
frozenset({'wine'}),"frozenset({'All_three', 'confectionery'})",0.287,0.274,0.144,0.5017421602787456,1.8311757674406774,0.06536199999999999,1.457076923076923
"frozenset({'All_three', 'Unnamed: 18', 'fish'})",frozenset({'fruitveg'}),0.292,0.299,0.145,0.4965753424657534,1.6607870985476703,0.05769199999999999,1.3924625850340138
"frozenset({'All_three', 'Unnamed: 18', 'fruitveg'})",frozenset({'fish'}),0.299,0.292,0.145,0.48494983277591974,1.6607870985476705,0.05769199999999999,1.3746233766233766
"frozenset({'All_three', 'fish'})","frozenset({'Unnamed: 18', 'fruitveg'})",0.292,0.299,0.145,0.4965753424657534,1.6607870985476703,0.05769199999999999,1.3924625850340138
"frozenset({'All_three', 'fruitveg'})","frozenset({'Unnamed: 18', 'fish'})",0.299,0.292,0.145,0.48494983277591974,1.6607870985476705,0.05769199999999999,1.3746233766233766
"frozenset({'Unnamed: 18', 'fish'})","frozenset({'All_three', 'fruitveg'})",0.292,0.299,0.145,0.4965753424657534,1.6607870985476703,0.05769199999999999,1.3924625850340138
"frozenset({'Unnamed: 18', 'fruitveg'})","frozenset({'All_three', 'fish'})",0.299,0.292,0.145,0.48494983277591974,1.6607870985476705,0.05769199999999999,1.3746233766233766
frozenset({'fish'}),"frozenset({'All_three', 'Unnamed: 18', 'fruitveg'})",0.292,0.299,0.145,0.4965753424657534,1.6607870985476703,0.05769199999999999,1.3924625850340138
frozenset({'fruitveg'}),"frozenset({'All_three', 'Unnamed: 18', 'fish'})",0.299,0.292,0.145,0.48494983277591974,1.6607870985476705,0.05769199999999999,1.3746233766233766
"frozenset({'Unnamed: 18', 'beer', 'frozenmeal'})",frozenset({'cannedveg'}),0.17,0.303,0.146,0.8588235294117645,2.83440108716754,0.09448999999999999,4.937083333333328
"frozenset({'Unnamed: 18', 'beer', 'cannedveg'})",frozenset({'frozenmeal'}),0.167,0.302,0.146,0.8742514970059879,2.8948725066423444,0.09556599999999998,5.5507619047619
"frozenset({'Unnamed: 18', 'frozenmeal', 'cannedveg'})",frozenset({'beer'}),0.173,0.293,0.146,0.8439306358381503,2.880309337331571,0.095311,4.530037037037038
"frozenset({'Unnamed: 18', 'beer'})","frozenset({'frozenmeal', 'cannedveg'})",0.293,0.173,0.146,0.49829351535836175,2.880309337331571,0.095311,1.6483741496598638
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'beer', 'cannedveg'})",0.302,0.167,0.146,0.4834437086092715,2.894872506642344,0.09556599999999998,1.612602564102564
"frozenset({'Unnamed: 18', 'cannedveg'})","frozenset({'beer', 'frozenmeal'})",0.303,0.17,0.146,0.48184818481848185,2.83440108716754,0.09448999999999999,1.6018471337579618
